ADDRESS	CITY	DBA_fromYelp	PHONE	PRICE	REVIEW	WEB	DBA	BORO	ZIPCODE	CUISINE DESCRIPTION	INSPECTION DATE	VIOLATION DESCRIPTION	CRITICAL FLAG	SCORE	GRADE	GRADE DATE
3 E 52nd St	New York	La Grenouille	2127521495	$$$$	231	la-grenouille.com	LA GRENOUILLE	MANHATTAN	10022	French	03/05/2013	Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.	Not Critical	9	A	03/05/2013
3 E 52nd St	New York	La Grenouille	2127521495	$$$$	231	la-grenouille.com	LA GRENOUILLE	MANHATTAN	10022	French	03/05/2013	Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.	Critical	9	A	03/05/2013
3 E 52nd St	New York	La Grenouille	2127521495	$$$$	231	la-grenouille.com	LA GRENOUILLE	MANHATTAN	10022	French	04/09/2014	Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.	Critical	10	A	04/09/2014
3 E 52nd St	New York	La Grenouille	2127521495	$$$$	231	la-grenouille.com	LA GRENOUILLE	MANHATTAN	10022	French	04/09/2014	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	10	A	04/09/2014
3 E 52nd St	New York	La Grenouille	2127521495	$$$$	231	la-grenouille.com	LA GRENOUILLE	MANHATTAN	10022	French	04/09/2014	Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.	Not Critical	10	A	04/09/2014
204 E 43rd St	New York	Sushi Yasuda	2129721001	$$$$	1322	sushiyasuda.com	SUSHI YASUDA	MANHATTAN	10017	Japanese	07/14/2014	Single service item reused, improperly stored, dispensed; not used when required.	Not Critical	10	A	07/14/2014
204 E 43rd St	New York	Sushi Yasuda	2129721001	$$$$	1322	sushiyasuda.com	SUSHI YASUDA	MANHATTAN	10017	Japanese	07/14/2014	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	10	A	07/14/2014
204 E 43rd St	New York	Sushi Yasuda	2129721001	$$$$	1322	sushiyasuda.com	SUSHI YASUDA	MANHATTAN	10017	Japanese	07/14/2014	Food not protected from potential source of contamination during storage, preparation, transportation, display or service.	Critical	10	A	07/14/2014
204 E 43rd St	New York	Sushi Yasuda	2129721001	$$$$	1322	sushiyasuda.com	SUSHI YASUDA	MANHATTAN	10017	Japanese	12/01/2014	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	7	A	12/01/2014
204 E 43rd St	New York	Sushi Yasuda	2129721001	$$$$	1322	sushiyasuda.com	SUSHI YASUDA	MANHATTAN	10017	Japanese	12/01/2014	Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.	Not Critical	7	A	12/01/2014
204 E 43rd St	New York	Sushi Yasuda	2129721001	$$$$	1322	sushiyasuda.com	SUSHI YASUDA	MANHATTAN	10017	Japanese	12/01/2014	Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.	Not Critical	7	A	12/01/2014
The Equitable Bldg155 W 51st St	New York	Le Bernardin	2125541515	$$$$	1498	le-bernardin.com	LE BERNARDIN	MANHATTAN	10019	French	03/19/2013	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	3	A	03/19/2013
